Norway  Period fertility rates by calendar year and age (1846 - 1967: age reached during the year (ARDY); 1967 - 2022: Lexis squares  age in completed years (ACY))		
1846 - 1967: Data from Burnborg & Mamalund (1994). Kohort og periodefruktbarhet I Norge 1820-1993: Statistics Norway; 1967 - 2022 Human Fertility Database. MPIDR & VID (data downloaded 02.08.2023)		
Year	Age 	ASFR
1853	26	0.19359
1853	27	0.20508
1853	28	0.21603
1853	29	0.22465
1853	30	0.23057
1853	31	0.23385
1853	32	0.23471
1853	33	0.23386
1853	34	0.23143
1853	35	0.22719
1853	36	0.22102
1853	37	0.21248
1853	38	0.20145
1853	39	0.18776
1853	40	0.17122
1853	41	0.15112
1853	42	0.12761
1853	43	0.10209
1853	44	0.07561
1853	45	0.0513
1853	46	0.03043
1853	47	0.01551
1853	48	0.00666
1853	49	0.00195
1853	50+	0
1854	14-	0
1854	15	0.01431
1854	16	0.0137
1854	17	0.00734
1854	18	0
1854	19	0.00706
1854	20	0.03331
1854	21	0.06827
1854	22	0.10777
1854	23	0.14296
1854	24	0.17154
1854	25	0.19221
1854	26	0.20593
1854	27	0.21829
1854	28	0.23011
1854	29	0.23945
1854	30	0.24589
1854	31	0.24948
1854	32	0.25043
1854	33	0.24953
1854	34	0.24692
1854	35	0.24237
1854	36	0.23574
1854	37	0.2266
1854	38	0.2148
1854	39	0.20018
1854	40	0.18253
1854	41	0.1611
1854	42	0.13603
1854	43	0.10882
1854	44	0.08058
1854	45	0.05466
1854	46	0.03243
1854	47	0.01652
1854	48	0.00708
1854	49	0.00207
1854	50+	0
1855	14-	0
1855	15	0.01388
1855	16	0.01311
1855	17	0.00671
1855	18	0
1855	19	0.00648
1855	20	0.03257
1855	21	0.06717
1855	22	0.10614
1855	23	0.14081
1855	24	0.16894
1855	25	0.18925
1855	26	0.20272
1855	27	0.21485
1855	28	0.22643
1855	29	0.2356
1855	30	0.24191
1855	31	0.24541
1855	32	0.2463
1855	33	0.24537
1855	34	0.24276
1855	35	0.23824
1855	36	0.2317
1855	37	0.22268
1855	38	0.21106
1855	39	0.19669
1855	40	0.17935
1855	41	0.15828
1855	42	0.13365
1855	43	0.10692
1855	44	0.07918
1855	45	0.05372
1855	46	0.03187
1855	47	0.01624
1855	48	0.00697
1855	49	0.00204
1855	50+	0
1856	14-	0
1856	15	0.01304
1856	16	0.01241
1856	17	0.00653
1856	18	0
1856	19	0.00639
1856	20	0.03066
1856	21	0.06292
1856	22	0.09931
1856	23	0.13168
1856	24	0.15794
1856	25	0.1769
1856	26	0.18946
1856	27	0.20078
1856	28	0.21162
1856	29	0.22018
1856	30	0.22607
1856	31	0.22936
1856	32	0.23022
1856	33	0.22939
1856	34	0.22699
1856	35	0.2228
1856	36	0.2167
1856	37	0.20827
1856	38	0.1974
1856	39	0.18394
1856	40	0.16769
1856	41	0.14797
1856	42	0.12491
1856	43	0.09992
1856	44	0.07398
1856	45	0.05019
1856	46	0.02978
1856	47	0.01518
1856	48	0.00652
1856	49	0.00191
1856	50+	0
1857	14-	0
1857	15	0.01348
